64
540165540,11.58124,48.15049;
540175071,11.52910,48.17766;
548342427,11.63413,48.12630;
568143481,11.57428,48.10879;
568143762,11.63181,48.11853;
568143830,11.62045,48.15330;
59503373,11.51380,48.09655;
59504778,11.51646,48.11796;
59505072,11.52655,48.11712;
59505144,11.51074,48.13513;
59505327,11.52132,48.13479;
59509174,11.52896,48.16320;
59509422,11.52866,48.16936;
59516601,11.53443,48.09803;
59516900,11.54610,48.10138;
59517610,11.53814,48.11687;
59517788,11.54864,48.11216;
59517890,11.54831,48.11931;
59518007,11.53266,48.13354;
59518566,11.55060,48.12564;
59518864,11.55829,48.12954;
59519142,11.56646,48.13336;
59519213,11.56069,48.13933;
59519243,11.56105,48.14005;
59519332,11.56330,48.14500;
59519381,11.56705,48.14015;
59519758,11.58063,48.09777;
59519810,11.58109,48.10462;
59520663,11.57145,48.11274;
59520814,11.57942,48.11515;
59520905,11.57650,48.11985;
59521043,11.58779,48.11244;
59521294,11.57531,48.12859;
59521511,11.57648,48.13747;
59521579,11.57762,48.14263;
59521966,11.58864,48.13942;
59522016,11.59459,48.11080;
59522320,11.60884,48.11809;
59522463,11.59790,48.13568;
59522594,11.60359,48.12875;
59522730,11.60703,48.13932;
59523129,11.54564,48.15004;
59523680,11.55890,48.14751;
59523770,11.56420,48.15109;
59523807,11.56687,48.15532;
59523916,11.56828,48.16113;
59524276,11.56723,48.17592;
59525530,11.57847,48.16662;
59525660,11.58621,48.16188;
59525843,11.57317,48.18050;
59526235,11.59090,48.16718;
59529822,11.61520,48.14278;
59533211,11.61665,48.14839;
644774487,11.60243,48.17841;
655769154,11.54098,48.13377;
655810285,11.53324,48.15326;
674407202,11.57295,48.17110;
674428466,11.55615,48.17911;
729211573,11.61909,48.12044;
749091723,11.55214,48.13572;
807662157,11.52372,48.09836;
813389942,11.59711,48.17312;
817093120,11.57504,48.13784;
817271232,11.58413,48.15658;
