64
540165540;11.58124;48.15049;2;
540175071;11.52910;48.17766;1;
548342427;11.63413;48.12630;1;
568143481;11.57428;48.10879;2;
568143762;11.63181;48.11853;1;
568143830;11.62045;48.15330;1;
59503373;11.51380;48.09655;1;
59504778;11.51646;48.11796;1;
59505072;11.52655;48.11712;2;
59505144;11.51074;48.13513;1;
59505327;11.52132;48.13479;2;
59509174;11.52896;48.16320;2;
59509422;11.52866;48.16936;2;
59516601;11.53443;48.09803;2;
59516900;11.54610;48.10138;2;
59517610;11.53814;48.11687;2;
59517788;11.54864;48.11216;2;
59517890;11.54831;48.11931;3;
59518007;11.53266;48.13354;2;
59518566;11.55060;48.12564;2;
59518864;11.55829;48.12954;2;
59519142;11.56646;48.13336;5;
59519213;11.56069;48.13933;2;
59519243;11.56105;48.14005;3;
59519332;11.56330;48.14500;2;
59519381;11.56705;48.14015;2;
59519758;11.58063;48.09777;1;
59519810;11.58109;48.10462;2;
59520663;11.57145;48.11274;3;
59520814;11.57942;48.11515;1;
59520905;11.57650;48.11985;3;
59521043;11.58779;48.11244;2;
59521294;11.57531;48.12859;2;
59521511;11.57648;48.13747;2;
59521579;11.57762;48.14263;5;
59521966;11.58864;48.13942;2;
59522016;11.59459;48.11080;2;
59522320;11.60884;48.11809;2;
59522463;11.59790;48.13568;3;
59522594;11.60359;48.12875;2;
59522730;11.60703;48.13932;2;
59523129;11.54564;48.15004;2;
59523680;11.55890;48.14751;2;
59523770;11.56420;48.15109;2;
59523807;11.56687;48.15532;2;
59523916;11.56828;48.16113;2;
59524276;11.56723;48.17592;2;
59525530;11.57847;48.16662;2;
59525660;11.58621;48.16188;3;
59525843;11.57317;48.18050;1;
59526235;11.59090;48.16718;2;
59529822;11.61520;48.14278;2;
59533211;11.61665;48.14839;2;
644774487;11.60243;48.17841;1;
655769154;11.54098;48.13377;2;
655810285;11.53324;48.15326;2;
674407202;11.57295;48.17110;4;
674428466;11.55615;48.17911;1;
729211573;11.61909;48.12044;4;
749091723;11.55214;48.13572;2;
807662157;11.52372;48.09836;2;
813389942;11.59711;48.17312;2;
817093120;11.57504;48.13784;2;
817271232;11.58413;48.15658;2;
132
U360000000N6-1;540165540;817271232;710.92826;0.00133;
U360000000N7-0;540165540;59521579;914.58375;0.00133;
U100000000N1-0;540175071;59509422;926.89953;0.00133;
U200000000N15-1;548342427;729211573;1459.33465;0.00133;
U100000000N11-1;568143481;59520663;539.22614;0.00133;
U100000000N12-0;568143481;59519810;699.49598;0.00133;
U500000000N2-0;568143762;729211573;976.27825;0.00133;
U400000000N1-0;568143830;59533211;661.06906;0.00133;
U300000000N19-1;59503373;807662157;769.73818;0.00133;
U600000000N17-1;59504778;59505072;761.40941;0.00133;
U600000000N16-1;59505072;59517610;863.30252;0.00133;
U600000000N17-0;59505072;59504778;761.40941;0.00133;
U500000000N13-1;59505144;59505327;788.48984;0.00133;
U450000000N12-1;59505327;59518007;859.37420;0.00133;
U500000000N13-0;59505327;59505144;788.48984;0.00133;
U100000000N2-1;59509174;59509422;706.18686;0.00133;
U100000000N3-0;59509174;655810285;1163.38159;0.00133;
U100000000N1-1;59509422;540175071;926.89953;0.00133;
U100000000N2-0;59509422;59509174;706.18686;0.00133;
U300000000N17-1;59516601;59516900;1043.24569;0.00133;
U300000000N18-0;59516601;807662157;820.32358;0.00133;
U300000000N16-1;59516900;59517788;1262.92142;0.00133;
U300000000N17-0;59516900;59516601;1043.24569;0.00133;
U600000000N15-1;59517610;59517890;1113.25662;0.00133;
U600000000N16-0;59517610;59505072;863.30252;0.00133;
U300000000N15-1;59517788;59517890;795.86244;0.00133;
U300000000N16-0;59517788;59516900;1262.92142;0.00133;
U300000000N15-0;59517890;59517788;795.86244;0.00133;
U360000000N14-1;59517890;59518566;772.59834;0.00133;
U600000000N15-0;59517890;59517610;1113.25662;0.00133;
U450000000N11-1;59518007;655769154;624.52711;0.00133;
U450000000N12-0;59518007;59505327;859.37420;0.00133;
U360000000N13-1;59518566;59518864;719.78989;0.00133;
U360000000N14-0;59518566;59517890;772.59834;0.00133;
U360000000N12-1;59518864;59519142;742.25474;0.00133;
U360000000N13-0;59518864;59518566;719.78989;0.00133;
U120000000N7-1;59519142;59519243;891.35610;0.00133;
U120000000N8-0;59519142;59521294;853.10053;0.00133;
U360000000N10-1;59519142;817093120;873.75055;0.00133;
U360000000N11-1;59519142;59521511;905.71574;0.00133;
U360000000N12-0;59519142;59518864;742.25474;0.00133;
U450000000N8-1;59519213;59519381;499.16627;0.00133;
U450000000N9-0;59519213;749091723;792.06735;0.00133;
U10000000N6-1;59519243;59523680;943.43792;0.00133;
U120000000N7-0;59519243;59519142;891.35610;0.00133;
U200000000N6-1;59519243;59519332;581.47774;0.00133;
U200000000N5-1;59519332;59523770;706.28855;0.00133;
U200000000N6-0;59519332;59519243;581.47774;0.00133;
U450000000N7-1;59519381;59521579;891.83180;0.00133;
U450000000N8-0;59519381;59519213;499.16627;0.00133;
U100000000N13-1;59519758;59519810;875.54028;0.00133;
U100000000N12-1;59519810;568143481;699.49598;0.00133;
U100000000N13-0;59519810;59519758;875.54028;0.00133;
U100000000N10-1;59520663;59520905;969.56307;0.00133;
U100000000N11-0;59520663;568143481;539.22614;0.00133;
